"","Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"4947","Dario Dainelli","ITA","Chievo","Serie A","2017-2018","1557.81","38","41","DF","LowBlockCentralDefender","1507","17","16.61","83.39","Right","-0.79","0","2.38","-0.06","0.14","","","","",""
"4948","Scott McTominay","SCO","Manchester Utd","Premier League","2018-2019","1838.16","21","24","MF,DF","DefensiveCentralProgressor","867","9","5.15","94.85","Right","-0.79","0","1.17","-0.81","0.12","686052","978247","22500000","",""
"4949","Diadie Samassekou","MLI","Hoffenheim","Bundesliga","2019-2020","1729.86","23","24","MF","DefensiveCentralProgressor","1310","16","13.94","86.06","Right","-0.79","-0.04","1.17","-0.81","0.08","","","12000000","12868697",""
"4950","Angel Montoro","ESP","Granada","La Liga","2019-2020","1714.43","31","32","MF","AttackingCentralProgressor","973","11","11.59","88.41","Right","-0.79","0.01","1.78","-0.96","0.16","","","1200000","2003563",""
"4951","Gianluca Di Chiara","ITA","Benevento","Serie A","2017-2018","1449.56","23","27","DF","DefensiveWideProgressor","1007","11","95.07","4.93","Left","-0.79","0","1.81","-0.92","0.16","","","","",""
"4952","Bryan Dabo","BFA","Saint-Etienne","Ligue 1","2017-2018","1620.35","25","28","MF,FW","Dribbler","1284","15","21.95","78.05","Right","-0.79","-0.07","2.4","-0.59","0.17","","","","",""
"4953","Yuri Berchiche","ESP","Athletic Club","La Liga","2020-2021","1693.78","30.89","30","DF","OffensiveWideProgressor","1047","13","92.8","7.2","Left","-0.79","0.06","2.88","-0.29","0.25","","","16000000","",""
"4954","Nikola Vlasic","CRO","Everton","Premier League","2017-2018","1695.62","19","23","FW,MF","Dribbler","576","7","27.75","72.25","Right","-0.79","-0.1","0.93","-2.07","0.15","","","","",""
"4955","Mirko Valdifiori","ITA","SPAL","Serie A","2018-2019","1550.09","32","34","MF","DefensiveCentralProgressor","668","8","5.19","94.81","Right","-0.79","0.05","1.21","-0.77","0.16","1465698","2404143","400000","",""
"4956","Tommaso Augello","ITA","Sampdoria","Serie A","2019-2020","1589.41","24","26","DF","OffensiveWideProgressor","1135","12","95.34","4.66","Left","-0.79","0.03","2.67","-0.5","0.21","","","1200000","2112532",""
"4957","Jose Manuel Jurado","ESP","Espanyol","La Liga","2017-2018","1727.57","31","34","MF,FW","AttackingCentralProgressor","1499","20","13.77","86.23","Right","-0.79","-0.05","1.78","-0.97","0.11","","","","",""
"4958","Giancarlo Gonzalez","CRC","LA Galaxy","MLS","2019","","30","32","DF","LowBlockCentralDefender","1434","15","5.79","94.21","Right","-0.79","-0.02","1.7","-0.74","0.11","719583","322456","900000","","104430"
"4959","Youssouf Fofana","FRA","Monaco","Ligue 1","2019-2020","1587.32","20","21","MF","DefensiveCentralProgressor","610","7","18.1","81.9","Right","-0.79","0.05","1.16","-0.82","0.17","","","13000000","9723478",""
"4960","Ruben Sobrino","ESP","Alaves","La Liga","2017-2018","1704.9","25","28","FW,MF","Finisher","1474","15","15.36","84.64","Right","-0.79","-0.07","2.76","-0.65","0.17","","","","",""
"4961","Adam Ounas","ALG","Napoli","Serie A","2018-2019","1803.07","21","24","MF,FW","Dribbler","538","6","89.72","10.28","Left","-0.79","0.14","2.26","-0.73","0.38","1885277","1140685","","",""
"4962","Vincent Manceau","FRA","Angers","Ligue 1","2020-2021","1571.94","31.48","31","DF","DefensiveWideProgressor","869","9","14.62","85.38","Right","-0.79","0.01","1.57","-1.16","0.16","","","1700000","",""
"4963","Florent Balmont","FRA","Dijon","Ligue 1","2019-2020","1519.01","39","40","MF","AttackingCentralProgressor","401","4","3.91","96.09","Right","-0.79","-0.05","0.35","-2.4","0.08","","","","",""
"4964","Jeremy Toljan","GER","Dortmund","Bundesliga","2017-2018","1737.74","22","26","DF","OffensiveWideProgressor","1211","13","18.29","81.71","Right","-0.8","-0.03","1.96","-1.21","0.15","","","","",""
"4965","Diego Rubio","CHI","Sporting KC","MLS","2018","","24","27","FW","Finisher","784","9","6.9","93.1","Right","-0.8","0.07","2.76","-0.65","0.32","266875","491293","","","169545"
"4966","Nicola Rigoni","ITA","Chievo","Serie A","2017-2018","1557.81","26","30","MF","DefensiveCentralProgressor","933","12","16.36","83.64","Right","-0.8","0","1.24","-0.74","0.12","","","","",""
"4967","Emre Colak","TUR","La Coruna","La Liga","2017-2018","","26","29","MF,FW","Playmaker","1447","17","95.42","4.58","Left","-0.8","-0.04","3.11","-0.57","0.19","","","","",""
"4968","Hector Herrera","MEX","Atletico Madrid","La Liga","2019-2020","1897.78","29","30","MF","AttackingCentralProgressor","1123","12","13.6","86.4","Right","-0.8","0.02","2.35","-0.4","0.19","","","","",""
"4969","Boubakary Soumare","FRA","Lille","Ligue 1","2020-2021","1715.59","21.85","21","MF","DefensiveCentralProgressor","697","7","19.84","80.16","Right","-0.8","0.03","1.16","-0.82","0.15","","","24500000","",""
"4970","Neal Maupay","FRA","Brighton","Premier League","2020-2021","1654.72","24.38","24","FW,MF","Finisher","1029","12","25.21","74.79","Right","-0.8","0","2.75","-0.66","0.24","","","20000000","",""
"4971","Raman Chibsah","GHA","Benevento","Serie A","2017-2018","1449.56","24","27","MF","DefensiveCentralProgressor","1048","12","9.56","90.44","Right","-0.8","-0.02","1.24","-0.74","0.11","","","","",""
"4972","Mikel Merino","ESP","Real Sociedad","La Liga","2020-2021","1758.95","24.53","24","MF","AttackingCentralProgressor","1293","15","87.86","12.14","Left","-0.8","0","2.34","-0.4","0.16","","","35000000","",""
"4973","Idrissa Gana Gueye","SEN","Paris S-G","Ligue 1","2020-2021","1869.92","31.27","31","MF","AttackingCentralProgressor","760","10","8.32","91.68","Right","-0.8","0.06","1.77","-0.97","0.21","","","","",""
"4974","Mickael Cuisance","FRA","M'Gladbach","Bundesliga","2018-2019","1693.49","18","21","MF","AttackingCentralProgressor","279","1","78.57","21.43","Left","-0.8","0.01","0.47","-2.28","0.15","","","","",""
"4975","Mahmoud Dahoud","GER","Dortmund","Bundesliga","2018-2019","1822.8","22","24","MF","DefensiveCentralProgressor","697","7","13.47","86.53","Right","-0.8","0.03","1.15","-0.83","0.15","5635474","2397879","6500000","",""
"4976","Lucas Perez","ESP","Alaves","La Liga","2020-2021","1645.58","32.31","32","FW","Finisher","888","10","91.92","8.08","Left","-0.8","0.06","3.01","-0.4","0.31","","","","",""
"4977","Omar Mascarell","ESP","Eint Frankfurt","Bundesliga","2017-2018","1627.17","24","27","MF","DefensiveCentralProgressor","771","8","20","80","Right","-0.8","0.02","1.23","-0.75","0.14","","","","",""
"4978","David Junca","ESP","Eibar","La Liga","2017-2018","1723.54","23","27","DF","OffensiveWideProgressor","900","10","94.16","5.84","Left","-0.8","0.02","1.95","-1.22","0.2","","","","",""
"4979","Federico Di Francesco","ITA","Bologna","Serie A","2017-2018","1546.53","23","26","FW,DF","Dribbler","1591","20","13.43","86.57","Right","-0.8","-0.11","2.25","-0.75","0.13","","","","",""
"4980","Danilo","BRA","Juventus","Serie A","2020-2021","1852.12","29.47","29","DF","DefensiveWideProgressor","1036","11","14.67","85.33","Right","-0.8","0.02","2.14","-0.6","0.19","","","15000000","",""
"4981","Oihan Sancet","ESP","Athletic Club","La Liga","2019-2020","1720.37","19","20","MF","Dribbler","741","9","7.85","92.15","Right","-0.8","-0.13","0.92","-2.08","0.11","","","4000000","4553613",""
"4982","Kevin Wimmer","AUT","Stoke City","Premier League","2017-2018","1625.11","24","28","DF","LowBlockCentralDefender","1323","14","81.11","18.89","Left","-0.81","-0.02","1.68","-0.75","0.11","","","","",""
"4983","Oier Sanjurjo","ESP","Osasuna","La Liga","2020-2021","1643.46","34.61","34","MF","DefensiveCentralProgressor","1153","12","16.03","83.97","Right","-0.81","-0.02","1.2","-0.78","0.09","","","","",""
"4984","Dan-Axel Zagadou","FRA","Dortmund","Bundesliga","2017-2018","1737.74","18","21","DF","OffensiveWideProgressor","657","6","80.52","19.48","Left","-0.81","-0.03","0.99","-2.18","0.14","","","31500000","",""
"4985","Adam Nagy","HUN","Bologna","Serie A","2018-2019","1572.21","23","25","MF","DefensiveCentralProgressor","975","10","25.45","74.55","Right","-0.81","-0.01","1.15","-0.83","0.11","1047250","1293997","","",""
"4986","Vladimir Coufal","CZE","West Ham","Premier League","2020-2021","1731.03","28.36","28","DF","DefensiveWideProgressor","1074","12","12.05","87.95","Right","-0.81","0.02","2.13","-0.6","0.18","","","","",""
"4987","Suso","ESP","Milan","Serie A","2019-2020","1758.25","25","27","FW,MF","Playmaker","1359","15","90.46","9.54","Left","-0.81","-0.03","3.1","-0.58","0.21","6283503","5075743","20000000","18917173",""
"4988","Angelo Ogbonna","ITA","West Ham","Premier League","2020-2021","1731.03","32.61","32","DF","LowBlockCentralDefender","1412","16","65.19","34.81","Left","-0.81","-0.02","1.84","-0.59","0.12","","","6500000","",""
"4989","Ki Sung-yueng","KOR","Newcastle Utd","Premier League","2018-2019","1715.6","29","31","MF","DefensiveCentralProgressor","1302","14","13.53","86.47","Right","-0.81","-0.04","1.23","-0.75","0.08","","","","",""
"4990","Ryan Hollingshead","USA","FC Dallas","MLS","2018","","26","29","DF","DefensiveWideProgressor","775","7","33.23","66.77","Right","-0.81","0.09","2.13","-0.6","0.25","145000","143804","1000000","","130844"
"4991","Tana","ESP","Las Palmas","La Liga","2017-2018","1539.63","26","30","MF,FW","AttackingCentralProgressor","1543","16","8.54","91.46","Right","-0.81","-0.03","2.33","-0.41","0.14","","","","",""
"4992","Eric Bailly","CIV","Manchester Utd","Premier League","2017-2018","1880.94","23","26","DF","LowBlockCentralDefender","1001","11","13.52","86.48","Right","-0.81","-0.02","1.26","-1.18","0.11","","","","",""
"4993","Jasmin Kurtic","SVN","Parma","Serie A","2019-2020","1572.84","30","31","MF,FW","AttackingCentralProgressor","1664","18","18.45","81.55","Right","-0.81","-0.04","2.33","-0.41","0.13","","","","",""
"4994","Paco Alcacer","ESP","Barcelona","La Liga","2017-2018","2025.35","23","27","FW,MF","Finisher","698","8","18.55","81.45","Right","-0.81","0.03","2.15","-1.26","0.28","","","","",""
"4995","Kieran Tierney","SCO","Arsenal","Premier League","2020-2021","1791.13","23.58","23","DF","OffensiveWideProgressor","1340","15","88.35","11.65","Left","-0.81","-0.01","2.65","-0.52","0.18","","","28000000","",""
"4996","Rony Lopes","POR","Nice","Ligue 1","2020-2021","1553.41","25.01","25","FW,MF","Dribbler","893","11","82.2","17.8","Left","-0.81","0","2.38","-0.62","0.24","","","","",""
"4997","Calum Chambers","ENG","Arsenal","Premier League","2019-2020","1803.37","24","25","DF","PossessionOrientedCentralDefender","1102","13","7.32","92.68","Right","-0.81","0.03","2.26","-0.54","0.18","","","14500000","17179083",""
"4998","Wilfried Singo","CIV","Torino","Serie A","2020-2021","1568.57","20.02","20","DF,MF","OffensiveWideProgressor","624","7","7.92","92.08","Right","-0.81","0.1","1.94","-1.23","0.28","","","","",""
"4999","Maynor Figueroa","HON","FC Dallas","MLS","2018","","34","37","DF","PossessionOrientedCentralDefender","1010","11","91.75","8.25","Left","-0.81","0.02","1.95","-0.85","0.17","250000","364978","","","119787"
"5000","Jack Cork","ENG","Burnley","Premier League","2019-2020","1726.9","30","31","MF","AttackingCentralProgressor","2613","30","12.26","87.74","Right","-0.81","-0.09","2.33","-0.42","0.08","2606996","2834179","12000000","9052577",""
"5001","Bruno Peres","BRA","Roma","Serie A","2017-2018","1846.35","27","30","DF","OffensiveWideProgressor","1155","13","10.75","89.25","Right","-0.82","0.02","2.65","-0.52","0.21","","","3000000","",""
"5002","Kamal Miller","CAN","Orlando City","MLS","2019","","21","23","DF","PossessionOrientedCentralDefender","1350","14","85.94","14.06","Left","-0.82","-0.03","1.72","-1.08","0.11","56250","146292","400000","","105658"
"5003","Gonzalo Verdu","ESP","Elche","La Liga","2020-2021","1584.74","32.2","32","DF","LowBlockCentralDefender","1260","14","8.49","91.51","Right","-0.82","0","1.84","-0.6","0.13","","","","",""
"5004","Shkodran Mustafi","GER","Arsenal","Premier League","2019-2020","1803.37","27","28","DF","PossessionOrientedCentralDefender","1207","13","4.62","95.38","Right","-0.82","0.01","2.26","-0.54","0.17","6174464","5572562","15000000","15232027",""
"5005","Mathew Leckie","AUS","Hertha BSC","Bundesliga","2018-2019","1636.97","27","29","FW,MF","Dribbler","941","10","17.48","82.52","Right","-0.82","-0.01","2.38","-0.62","0.23","1014453","1661210","","",""
"5006","Enric Gallego","ESP","Huesca","La Liga","2018-2019","1612.89","31","34","FW","Finisher","1539","17","77.86","22.14","Left","-0.82","-0.07","3","-0.41","0.18","307616","1518885","","",""
"5007","Musa Barrow","GAM","Bologna","Serie A","2020-2021","1591.68","22.13","22","FW,MF","Playmaker","1106","13","13.56","86.44","Right","-0.82","0.01","2.88","-0.8","0.23","","","18000000","",""
"5008","Alex Gallar","ESP","Huesca","La Liga","2018-2019","1612.89","26","28","MF,FW","Playmaker","1009","10","86.58","13.42","Left","-0.82","0.04","3.09","-0.59","0.28","923978","2629103","","",""
"5009","Robin Gosens","GER","Atalanta","Serie A","2020-2021","1821.92","26.49","26","DF","OffensiveWideProgressor","803","9","87.93","12.07","Left","-0.82","0.11","2.64","-0.53","0.3","","","27000000","",""
"5010","Jamal Musiala","ENG","Bayern Munich","Bundesliga","2020-2021","2049.7","17.85","17","MF,FW","Dribbler","320","2","11.63","88.37","Right","-0.82","0.01","0.9","-2.1","0.25","","","","",""
"5011","Jannik Vestergaard","DEN","Southampton","Premier League","2019-2020","1724.54","26","28","DF","PossessionOrientedCentralDefender","1497","17","34.46","65.54","Right","-0.82","-0.02","2.25","-0.55","0.14","4116310","3495453","12000000","8867413",""
"5012","Hugo Guillamon","ESP","Valencia","La Liga","2019-2020","1733.38","19","20","DF","LowBlockCentralDefender","495","5","21.94","78.06","Right","-0.82","0","0.72","-1.72","0.13","","","5000000","4915863",""
"5013","Fouad Chafik","MAR","Dijon","Ligue 1","2020-2021","1486.82","34.21","34","DF","DefensiveWideProgressor","839","10","5.24","94.76","Right","-0.82","0.01","1.54","-1.19","0.17","","","650000","",""
"5014","Anthony Gordon","ENG","Everton","Premier League","2019-2020","1720.04","18","19","MF,FW","AttackingCentralProgressor","440","4","6.67","93.33","Right","-0.82","-0.05","0.45","-2.3","0.09","","","5000000","6816837",""
"5015","Rob Holding","ENG","Arsenal","Premier League","2018-2019","1866.53","22","25","DF","LowBlockCentralDefender","807","9","22.81","77.19","Right","-0.82","0.01","1.24","-1.19","0.14","1715129","1559173","9500000","",""
"5016","Svante Ingelsson","SWE","Udinese","Serie A","2017-2018","1554.6","19","22","MF","AttackingCentralProgressor","325","3","82.93","17.07","Left","-0.82","-0.02","0.45","-2.3","0.12","","","","",""
"5017","Mateo Klimowicz","ARG","Stuttgart","Bundesliga","2020-2021","1657.1","20.49","20","FW,MF","Finisher","528","5","35.29","64.71","Right","-0.82","0.11","2.13","-1.28","0.36","","","","",""
"5018","Morgan Schneiderlin","FRA","Everton","Premier League","2019-2020","1720.04","29","31","MF","DefensiveCentralProgressor","1001","12","14.56","85.44","Right","-0.82","-0.01","1.21","-0.77","0.11","6860516","5983367","9500000","7738903",""
"5019","Dani Raba","ESP","Villarreal","La Liga","2017-2018","1759.18","21","25","MF,FW","Playmaker","1110","14","87.94","12.06","Left","-0.82","0.01","2.88","-0.81","0.23","","","","",""
"5020","Chris Lowe","GER","Huddersfield","Premier League","2018-2019","1522.12","29","31","DF,MF","OffensiveWideProgressor","2057","23","85.26","14.74","Left","-0.82","-0.07","2.64","-0.53","0.12","1372103","1978871","","",""
"5021","Collin Quaner","GER","Huddersfield","Premier League","2017-2018","1563.21","26","29","FW,MF","Dribbler","1280","13","8.8","91.2","Right","-0.83","-0.07","2.37","-0.63","0.17","","","","",""
"5022","Domingos Quina","POR","Watford","Premier League","2018-2019","1685.23","18","21","MF","AttackingCentralProgressor","338","3","8.41","91.59","Right","-0.83","-0.02","0.44","-2.3","0.12","548841","908451","","",""
"5023","Prejuce Nakoulma","BFA","Nantes","Ligue 1","2017-2018","1576.06","30","33","FW","Finisher","1148","13","13.56","86.44","Right","-0.83","-0.03","2.72","-0.68","0.21","","","","",""
"5024","Danilo","BRA","Manchester City","Premier League","2018-2019","2037.31","27","29","DF","DefensiveCentralProgressor","807","9","12.1","87.9","Right","-0.83","0.01","1.21","-0.77","0.13","5488413","3864843","","",""
"5025","Benjamin Bourigeaud","FRA","Rennes","Ligue 1","2020-2021","1620.75","26.97","26","MF","AttackingCentralProgressor","1085","12","8.94","91.06","Right","-0.83","0.02","2.31","-0.43","0.19","","","12000000","",""
"5026","Romain Saiss","MAR","Wolves","Premier League","2018-2019","1719.59","28","30","MF,DF","PossessionOrientedCentralDefender","1149","12","85.35","14.65","Left","-0.83","0.02","2.24","-0.55","0.18","1509314","2433848","8000000","",""
"5027","Hassani Dotson","USA","Minnesota","MLS","2019","","21","23","DF,MF","OffensiveWideProgressor","1410","15","13.13","86.87","Right","-0.83","-0.05","1.92","-1.25","0.12","56250","188796","1000000","","117944"
"5028","Sergej Milinkovic-Savic","SRB","Lazio","Serie A","2020-2021","1733.08","25.85","25","MF","AttackingCentralProgressor","908","11","21.1","78.9","Right","-0.83","0.06","2.31","-0.43","0.23","","","","",""
"5029","Per Ciljan Skjelbred","NOR","Hertha BSC","Bundesliga","2018-2019","1636.97","31","33","MF","DefensiveCentralProgressor","997","12","8.95","91.05","Right","-0.83","-0.01","1.17","-0.81","0.11","1352604","1340227","1000000","",""
"5030","Sehrou Guirassy","FRA","Amiens","Ligue 1","2018-2019","1502.4","22","24","FW","Finisher","1111","13","13.6","86.4","Right","-0.83","-0.08","2.12","-1.29","0.17","","","","",""
"5031","Max Meyer","GER","Schalke 04","Bundesliga","2017-2018","1735.62","21","25","MF","DefensiveCentralProgressor","1727","21","28.69","71.31","Right","-0.83","-0.06","1.12","-0.86","0.06","","","","",""
